code,name,iqc_id,name
1..05.021.003,停用-排水阀套筒新,4091,黄萍
1.01.001.001,方陶瓷/宝路YB001-方,4091,黄萍
1.01.001.002,圆陶瓷/宝路YB002-圆,4091,黄萍
1.01.001.003,圆陶瓷/美加华YM002-M 300孔距,4091,黄萍
1.01.001.004,圆陶瓷/美加华YM002-L 400孔距,4091,黄萍
1.01.001.005,YG陶瓷 300无孔/惠达YH005-M1,4091,黄萍
1.01.001.006,YG陶瓷 300有孔/惠达YH005-M2,4091,黄萍
1.01.001.007,YG陶瓷 400无孔/惠达YH005-L1,4091,黄萍
1.01.001.008,YG陶瓷 400有孔/惠达YH005-L2,4091,黄萍
1.01.001.009,陶瓷/YT陶瓷/300有孔,4091,黄萍
1.01.001.010,陶瓷/YT陶瓷/400有孔,4091,黄萍
1.01.001.011,陶瓷/YT陶瓷/300无孔,4091,黄萍
1.01.001.012,陶瓷/YT陶瓷/400无孔,4091,黄萍
1.01.001.013,,4091,黄萍
1.01.001.017,立维陶瓷/300有孔/YT,4091,黄萍
1.01.001.018,立维陶瓷/300无孔/YT,4091,黄萍
1.01.001.019,立维陶瓷/400有孔/YT,4091,黄萍
1.01.001.020,立维陶瓷/400无孔/YT,4091,黄萍
1.01.001.021,立维陶瓷/300有孔/YG,4091,黄萍
1.01.001.022,立维陶瓷/300无孔/YG,4091,黄萍
1.01.001.023,立维陶瓷/400有孔/YG,4091,黄萍
1.01.001.024,立维陶瓷/400无孔/YG,4091,黄萍
1.01.001.025,陶瓷/YG美规陶瓷/300无孔,4091,黄萍
1.01.001.026,陶瓷/YG美规陶瓷装置/300有孔,4091,黄萍
1.01.001.027,陶瓷/YG美规陶瓷/300有孔,4091,黄萍
1.01.001.028,新乐陶瓷/300有孔/YG/CD59,4091,黄萍
1.01.001.029,新乐陶瓷/300无孔/YG/CD59S,4091,黄萍
1.01.001.030,新乐陶瓷/400有孔/YG/CB59,4091,黄萍
1.01.001.031,新乐陶瓷/400无孔/YG/CB59S,4091,黄萍
1.01.001.032,陶瓷/零水压陶瓷/300无孔,4091,黄萍
1.01.001.033,陶瓷/零水压陶瓷/300有孔,4091,黄萍
1.01.001.034,陶瓷/零水压陶瓷/400无孔,4091,黄萍
1.01.001.035,陶瓷/零水压陶瓷/400有孔,4091,黄萍
1.01.001.036,陶瓷/零水压美规陶瓷/300有孔,4091,黄萍
1.01.001.037,陶瓷/零水压美规陶瓷/300无孔,4091,黄萍
1.01.001.038,陶瓷/分体机陶瓷/YH008/300无孔/含水键,4091,黄萍
1.01.001.039,陶瓷/分体机陶瓷//YH008/400无孔/含水键,4091,黄萍
